Time.Frame,Year,Dow.Jones.Average,CPI,Inflation,Interest.Rate,Unemployment,GDP
Jan-85,1985,1286.77,106.9,0.47%,8.35,7.3,4230.17
Feb-85,1985,1284.01,107.4,0.46%,8.5,7.2,4230.17
Mar-85,1985,1266.78,107.9,0.28%,8.58,7.2,4230.17
Apr-85,1985,1258.06,108.2,0.37%,8.27,7.3,4294.89
May-85,1985,1315.41,108.6,0.18%,7.97,7.2,4294.89
Jun-85,1985,1335.46,108.8,0.18%,7.53,7.4,4294.89
Jul-85,1985,1347.45,109,0.37%,7.88,7.4,4386.77
Aug-85,1985,1334.01,109.4,0.55%,7.9,7.1,4386.77
Sep-85,1985,1328.63,110,0.63%,7.92,7.1,4386.77
Oct-85,1985,1374.31,110.7,0.45%,7.99,7.1,4444.09
Nov-85,1985,1472.13,111.2,0.09%,8.05,7,4444.09
Dec-85,1985,1546.67,111.3,0.27%,8.27,7,4444.09
Jan-86,1986,1570.99,111.6,0.27%,8.14,6.7,4507.89
Feb-86,1986,1709.06,111.9,0.36%,7.86,7.2,4507.89
Mar-86,1986,1818.61,112.3,0.35%,7.48,7.2,4507.89
Apr-86,1986,1783.98,112.7,0.18%,6.99,7.1,4545.34
May-86,1986,1876.71,112.9,0.18%,6.85,7.2,4545.34
Jun-86,1986,1892.72,113.1,0.35%,6.92,7.2,4545.34
Jul-86,1986,1775.31,113.5,0.26%,6.56,7,4607.67
Aug-86,1986,1898.34,113.8,0.61%,6.17,6.9,4607.67
Sep-86,1986,1767.58,114.5,0.52%,5.89,7,4607.67
Oct-86,1986,1877.81,115.1,0.26%,5.85,7,4657.63
Nov-86,1986,1914.23,115.4,0.09%,6.04,6.9,4657.63
Dec-86,1986,1895.95,115.5,0.26%,6.91,6.6,4657.63
Jan-87,1987,2158.04,115.8,0.26%,6.43,6.6,4722.16
Feb-87,1987,2223.99,116.1,0.60%,6.1,6.6,4722.16
Mar-87,1987,2304.69,116.8,0.51%,6.13,6.6,4722.16
Apr-87,1987,2286.36,117.4,0.17%,6.37,6.3,4806.16
May-87,1987,2291.57,117.6,0.08%,6.85,6.3,4806.16
Jun-87,1987,2418.53,117.7,0.25%,6.73,6.2,4806.16
Jul-87,1987,2572.07,118,0.51%,6.58,6.1,4884.56
Aug-87,1987,2662.95,118.6,0.67%,6.73,6,4884.56
Sep-87,1987,2596.28,119.4,0.58%,7.22,5.9,4884.56
Oct-87,1987,1993.53,120.1,0.33%,7.29,6,5007.99
Nov-87,1987,1833.55,120.5,-0.08%,6.69,5.8,5007.99
Dec-87,1987,1938.83,120.4,0.33%,6.77,5.7,5007.99
Jan-88,1988,1958.22,120.8,0.25%,6.83,5.7,5073.37
Feb-88,1988,2071.62,121.1,0.66%,6.58,5.7,5073.37
Mar-88,1988,1988.06,121.9,0.41%,6.58,5.7,5073.37
Apr-88,1988,2032.33,122.4,0.24%,6.87,5.4,5190.04
May-88,1988,2031.12,122.7,0.24%,7.09,5.6,5190.04
Jun-88,1988,2141.71,123,0.24%,7.51,5.4,5190.04
Jul-88,1988,2128.73,123.3,0.40%,7.75,5.4,5282.84
Aug-88,1988,2031.65,123.8,0.72%,8.01,5.6,5282.84
Sep-88,1988,2112.91,124.7,0.64%,8.19,5.4,5282.84
Oct-88,1988,2148.65,125.5,0.24%,8.3,5.4,5399.51
Nov-88,1988,2114.51,125.8,0.16%,8.35,5.3,5399.51
Dec-88,1988,2168.57,126,0.32%,8.76,5.3,5399.51
Jan-89,1989,2342.32,126.4,0.39%,9.12,5.4,5511.25
Feb-89,1989,2258.39,126.9,0.55%,9.36,5.2,5511.25
Mar-89,1989,2293.62,127.6,0.31%,9.85,5,5511.25
Apr-89,1989,2418.8,128,0.23%,9.84,5.2,5612.46
May-89,1989,2480.15,128.3,0.16%,9.81,5.2,5612.46
Jun-89,1989,2440.06,128.5,0.39%,9.53,5.3,5612.46
Jul-89,1989,2660.66,129,0.23%,9.24,5.2,5695.37
Aug-89,1989,2737.27,129.3,0.54%,8.99,5.2,5695.37
Sep-89,1989,2692.82,130,0.69%,9.02,5.3,5695.37
Oct-89,1989,2645.08,130.9,0.30%,8.84,5.3,5747.24
Nov-89,1989,2706.27,131.3,0.15%,8.55,5.4,5747.24
Dec-89,1989,2753.2,131.5,0.38%,8.45,5.4,5747.24
Jan-90,1990,2590.54,132,0.60%,8.23,5.4,5872.7
Feb-90,1990,2627.25,132.8,0.82%,8.24,5.3,5872.7
Mar-90,1990,2707.21,133.9,0.22%,8.28,5.2,5872.7
Apr-90,1990,2656.76,134.2,0.15%,8.26,5.4,5960.03
May-90,1990,2876.66,134.4,0.30%,8.18,5.4,5960.03
Jun-90,1990,2880.69,134.8,0.52%,8.29,5.2,5960.03
Jul-90,1990,2905.2,135.5,0.66%,8.15,5.5,6015.12
Aug-90,1990,2614.36,136.4,0.58%,8.13,5.7,6015.12
Sep-90,1990,2452.48,137.2,0.44%,8.2,5.9,6015.12
Oct-90,1990,2442.33,137.8,0.29%,8.11,5.9,6004.73
Nov-90,1990,2559.65,138.2,0.07%,7.81,6.2,6004.73
Dec-90,1990,2633.66,138.3,0.79%,7.31,6.3,6004.73
